20040503,3005,2772,2
20040504,3664,3630,3
20040505,2471,2256,1
20040506,3052,2661,2
20040507,2878,2540,3
20040510,3758,3303,2
20040511,2700,2822,6
20040512,3018,2914,3
20040513,2916,2611,6
20040514,2833,2696,2
20040517,2735,2840,2
20040518,2563,2488,5
20040519,2781,2753,3
20040520,2768,2365,3
20040521,2940,2403,2
20040524,3055,2965,2
20040525,3544,2940,5
20040526,2869,2382,3
20040527,2865,2693,3
20040528,1970,1746,1
20040601,2959,2621,3
20040602,2941,2543,1
20040603,3081,2715,3
20040604,2768,2352,3
20040607,2355,1731,1
20040608,2656,2354,4
20040609,2394,2227,3
20040610,2408,2036,1
20040614,2203,2162,2
20040615,2731,2280,3
20040616,2177,2212,3
20040617,2244,2016,5
20040618,2374,2257,1
20040621,2090,2276,3
20040622,2701,2327,3
20040623,2336,2332,4
20040624,2632,2738,3
20040625,2996,2703,2
20040628,2673,2361,2
20040629,2879,2579,4
20040630,3031,2843,4
20040701,3394,3672,2
20040702,2972,2421,2
20040706,2840,2691,4
20040707,2627,2365,3
20040708,2712,2728,4
20040709,2401,2275,1
20040712,2521,2423,2
20040713,2466,2382,4
20040714,2814,2466,4
20040715,2702,2416,2
20040716,2652,2894,3
20040719,2367,2312,2
20040720,2577,2311,1
20040721,2375,2833,2
20040722,2519,2398,5
20040723,2362,2246,1
20040726,3161,3073,1
20040727,2845,2835,1
20040728,2876,3109,3
20040729,2916,2691,4
20040730,2867,2683,3
20040802,2826,2591,1
20040803,2581,2719,1
20040804,2645,2325,4
20040805,2533,2667,2
20040806,2757,3055,4
20040809,2259,1979,3
20040810,2250,1992,2
20040811,2857,2573,2
20040812,3151,3407,3
20040813,2794,2643,2
20040816,2712,2320,3
20040817,2522,2594,2
20040818,2757,2544,3
20040819,2530,2322,2
20040820,2642,2555,3
20040823,2672,2498,2
20040824,2108,2130,1
20040825,2499,2124,1
20040826,2067,1952,2
20040827,1831,1797,2
20040830,2216,2038,2
20040831,2629,2434,1
20040901,3113,2766,3
20040902,2276,1964,4
20040903,2428,2027,2
20040907,2852,2873,3
20040908,3074,3058,3
20040909,2866,2841,3
20040910,2438,2303,3
20040913,2453,2521,3
20040914,2738,2110,3
20040915,2368,2204,2
20040916,2268,2309,3
20040917,2464,2509,1
20040920,2759,2454,3
20040921,2435,2783,2
20040922,2733,2584,1
20040923,2384,2428,5
20040924,2007,2086,6
20040927,2706,2869,2
20040928,2943,3128,4
20040929,2826,2570,2
20040930,3027,2625,5
20041001,2521,2357,3
20041004,2409,2427,2
20041005,2838,2465,1
20041006,2538,2428,2
20041007,2529,2496,4
20041008,2596,2604,3
20041011,1684,1789,1
20041012,2498,2194,5
20041013,2667,2692,3
20041014,2383,2261,3
20041015,2729,2465,3
20041018,3149,2268,3
20041019,2431,2504,2
20041020,2847,2867,1
20041021,2590,2413,2
20041022,2400,2722,2
20041025,2999,2800,1
20041026,2530,2620,2
20041027,2378,2186,4
20041028,2235,1953,5
20041029,2382,2465,3
20041101,2791,2515,3
20041102,2282,2194,2
20041103,2557,2329,3
20041104,3196,2676,3
20041105,2726,2467,3
20041108,3090,2923,1
20041109,2713,2450,6
20041110,2532,2416,4
20041111,2615,1931,4
20041112,2659,2035,1
20041115,2390,2284,1
20041116,2772,2301,2
20041117,3092,2413,3
20041118,1710,1692,2
20041119,2312,2244,3
20041122,2597,2345,2
20041123,2670,2464,6
20041124,2442,2454,3
20041126,1183,1167,1
20041129,3076,2914,7
20041130,3429,3583,3
20041201,2421,2011,3
20041202,3170,2746,3
20041203,3011,2923,1
20041206,2433,2412,2
20041207,2705,3046,1
20041208,2983,2753,2
20041209,2619,2337,2
20041210,2149,2551,3
20041213,2748,3018,2
20041214,3027,2474,1
20041215,2719,2554,2
20041216,2445,2447,1
20041217,2931,3201,4
20041220,2395,2475,1
20041221,2942,2394,1
20041222,2494,2384,4
20041223,2271,2189,2
20041227,2511,2472,1
20041228,2103,2159,1
20041229,1750,1586,1
20041230,1780,1714,3
20041231,1929,2121,1
20050103,2568,2773,2
20050104,3177,2914,1
20050105,2468,2494,1
20050106,2874,2476,2
20050107,2559,2252,3
20050110,2635,2654,4
20050111,2612,2904,5
20050112,3157,2656,2
20050113,2495,2564,2
20050114,2305,2143,3
20050118,3001,2499,5
20050119,2145,2296,4
20050120,2599,2887,5
20050121,2442,2710,4
20050124,2696,2532,2
20050125,2548,2382,2
20050126,2514,2483,2
20050127,2497,2211,7
20050128,2390,2414,1
20050131,2567,2335,4
20050201,2537,2400,9
20050202,2698,2573,3
20050203,2711,2462,4
20050204,2383,2359,2
20050207,2128,1974,2
20050208,2313,1990,5
20050209,2422,2609,5
20050210,2681,2565,6
20050211,2667,2485,4
20050214,2249,2403,4
20050215,2516,2625,3
20050216,2180,2191,1
20050217,2422,2428,5
20050218,2828,2307,2
20050222,2919,3189,3
20050223,3047,2831,4
20050224,3032,2651,1
20050225,3024,2592,2
20050228,2805,2885,2
20050301,2961,2574,2
20050302,2647,2801,2
20050303,3603,3275,3
20050304,3267,2769,2
20050307,2826,2770,2
20050308,2562,2735,2
20050309,2292,2480,5
20050310,2811,2711,3
20050311,2686,2748,1
20050314,2735,2644,2
20050315,2754,3229,2
20050316,3474,3418,2
20050317,2817,3209,10
20050321,3079,3070,1
20050322,3070,3275,1
20050323,3093,3277,1
20050324,2828,2398,2
20050328,2731,2470,2
20050329,2716,3000,2
20050330,3395,2747,1
20050331,3190,3055,4
20050401,3474,3446,2
20050404,3772,3162,1
20050405,2885,2657,2
20050406,2953,2847,1
20050407,3389,3103,2
20050408,2792,2632,6
20050411,2578,2700,1
20050412,2985,2509,3
20050413,2768,3069,1
20050414,3232,2954,6
20050415,3097,2972,4
20050418,2792,3329,1
20050419,2910,2911,4
20050420,3163,3494,2
20050421,3142,3063,2
20050422,3144,3328,3
20050425,3107,3058,2
20050426,2818,2692,4
20050427,3143,2802,4
20050428,2849,3563,4
20050429,3568,3241,2
20050502,3046,3098,4
20050503,3400,2829,4
20050504,2880,2427,1
20050505,2855,2977,2
20050506,2262,2618,2
20050509,2273,2350,2
20050510,2502,2752,2
20050511,2797,2923,4
20050512,3326,3438,0
20050513,2830,3226,2
20050516,2746,2488,1
20050517,2371,2423,2
20050518,2661,2852,3
20050519,2306,2525,3
20050520,2398,2473,1
20050523,2405,2433,1
20050524,2635,2660,2
20050525,2420,2377,3
20050526,2000,2055,4
20050527,1556,1852,1
20050531,2180,2194,2
20050601,2569,2703,1
20050602,2698,2937,1
20050603,2223,2518,3
20050606,2730,2296,3
20050607,2778,2808,2
20050608,2173,2342,1
20050609,2428,2414,2
20050610,1782,2294,5
20050613,3004,2800,3
20050614,3067,3062,1
20050615,2584,2772,4
20050616,2611,2764,3
20050617,2613,2894,1
20050620,2314,2333,3
20050621,2179,2344,3
20050622,2260,2232,1
20050623,2570,3689,2
20050624,2640,2529,2
20050627,2569,2744,5
20050628,2700,2702,2
20050629,2085,2927,3
20050630,2122,2428,2
20050701,2290,2933,3
20050705,3158,2903,3
20050706,2536,3044,1
20050707,2938,2971,2
20050708,2529,2409,2
20050711,2352,2527,3
20050712,2208,2788,1
20050713,2590,2659,3
20050714,2813,2723,2
20050715,2192,2427,1
